Dt_time,Dt,Odisha
30/04/2019 00:00:00,30/04/2019 00:00:00,65.3
02/05/2019 00:00:00,02/05/2019,66.2
03/05/2019 00:00:00,03/05/2019,70.3
04/05/2019 00:00:00,04/05/2019,71.6
05/05/2019 00:00:00,05/05/2019,89.7
06/05/2019 00:00:00,06/05/2019,95
07/05/2019 00:00:00,07/05/2019,89.4
08/05/2019 00:00:00,08/05/2019,87.6
09/05/2019 00:00:00,09/05/2019,84.1
10/05/2019 00:00:00,10/05/2019,83.2
11/05/2019 00:00:00,11/05/2019,78.9
12/05/2019 00:00:00,12/05/2019,98.7
13/05/2019 00:00:00,13/05/2019 00:00:00,102.5
14/05/2019 00:00:00,14/05/2019 00:00:00,97.4
15/05/2019 00:00:00,15/05/2019 00:00:00,86.9
16/05/2019 00:00:00,16/05/2019 00:00:00,86.2
17/05/2019 00:00:00,17/05/2019 00:00:00,87.9
18/05/2019 00:00:00,18/05/2019 00:00:00,89
19/05/2019 00:00:00,19/05/2019 00:00:00,79.9
20/05/2019 00:00:00,20/05/2019 00:00:00,90.8
21/05/2019 00:00:00,21/05/2019 00:00:00,92
22/05/2019 00:00:00,22/05/2019 00:00:00,95.4
23/05/2019 00:00:00,23/05/2019 00:00:00,96.5
24/05/2019 00:00:00,24/05/2019 00:00:00,96.5
25/05/2019 00:00:00,25/05/2019 00:00:00,94.6
26/05/2019 00:00:00,26/05/2019 00:00:00,66.5
27/05/2019 00:00:00,27/05/2019 00:00:00,69.1
28/05/2019 00:00:00,28/05/2019 00:00:00,74.7
29/05/2019 00:00:00,29/05/2019 00:00:00,79.1
30/05/2019 00:00:00,30/05/2019 00:00:00,82.7
31/05/2019 00:00:00,31/05/2019 00:00:00,80.7
02/06/2019 00:00:00,02/06/2019,82.8
03/06/2019 00:00:00,03/06/2019,83.8
04/06/2019 00:00:00,04/06/2019,85.8
05/06/2019 00:00:00,05/06/2019,79.8
06/06/2019 00:00:00,06/06/2019,70.8
07/06/2019 00:00:00,07/06/2019,70.5
08/06/2019 00:00:00,08/06/2019,73.9
09/06/2019 00:00:00,09/06/2019,76.1
10/06/2019 00:00:00,10/06/2019,67.6
11/06/2019 00:00:00,11/06/2019,81.9
12/06/2019 00:00:00,12/06/2019,81.8
13/06/2019 00:00:00,13/06/2019 00:00:00,73.5
14/06/2019 00:00:00,14/06/2019 00:00:00,75.4
15/06/2019 00:00:00,15/06/2019 00:00:00,84.1
16/06/2019 00:00:00,16/06/2019 00:00:00,82.2
17/06/2019 00:00:00,17/06/2019 00:00:00,93.9
18/06/2019 00:00:00,18/06/2019 00:00:00,85
19/06/2019 00:00:00,19/06/2019 00:00:00,81.5
20/06/2019 00:00:00,20/06/2019 00:00:00,94.3
21/06/2019 00:00:00,21/06/2019 00:00:00,92
22/06/2019 00:00:00,22/06/2019 00:00:00,91
23/06/2019 00:00:00,23/06/2019 00:00:00,90.7
24/06/2019 00:00:00,24/06/2019 00:00:00,69
25/06/2019 00:00:00,25/06/2019 00:00:00,68.4
26/06/2019 00:00:00,26/06/2019 00:00:00,70.3
27/06/2019 00:00:00,27/06/2019 00:00:00,71
28/06/2019 00:00:00,28/06/2019 00:00:00,69.5
29/06/2019 00:00:00,29/06/2019 00:00:00,70.4
30/06/2019 00:00:00,30/06/2019 00:00:00,70.1
01/07/2019 00:00:00,01/07/2019,89.8
02/07/2019 00:00:00,02/07/2019,96.4
03/07/2019 00:00:00,03/07/2019,107
04/07/2019 00:00:00,04/07/2019,99.8
05/07/2019 00:00:00,05/07/2019,95.2
06/07/2019 00:00:00,06/07/2019,94
07/07/2019 00:00:00,07/07/2019,87.8
08/07/2019 00:00:00,08/07/2019,69.7
08/07/2019 00:00:00,08/07/2019,78.2
09/07/2019 00:00:00,09/07/2019,64.7
09/07/2019 00:00:00,09/07/2019,63.6
10/07/2019 00:00:00,10/07/2019,67.3
10/07/2019 00:00:00,10/07/2019,56.5
11/07/2019 00:00:00,11/07/2019,55
11/07/2019 00:00:00,11/07/2019,66.7
12/07/2019 00:00:00,12/07/2019,73.6
12/07/2019 00:00:00,12/07/2019,74.9
13/07/2019 00:00:00,13/07/2019 00:00:00,74.8
14/07/2019 00:00:00,14/07/2019 00:00:00,74.1
15/07/2019 00:00:00,15/07/2019 00:00:00,73.8
16/07/2019 00:00:00,16/07/2019 00:00:00,72.1
17/07/2019 00:00:00,17/07/2019 00:00:00,75.7
18/07/2019 00:00:00,18/07/2019 00:00:00,85.3
19/07/2019 00:00:00,19/07/2019 00:00:00,85.1
20/07/2019 00:00:00,20/07/2019 00:00:00,81.6
21/07/2019 00:00:00,21/07/2019 00:00:00,80
22/07/2019 00:00:00,22/07/2019 00:00:00,83.3
23/07/2019 00:00:00,23/07/2019 00:00:00,84.9
24/07/2019 00:00:00,24/07/2019 00:00:00,74.6
25/07/2019 00:00:00,25/07/2019 00:00:00,76.8
26/07/2019 00:00:00,26/07/2019 00:00:00,77
27/07/2019 00:00:00,27/07/2019 00:00:00,78
28/07/2019 00:00:00,28/07/2019 00:00:00,80.6
29/07/2019 00:00:00,29/07/2019 00:00:00,83.1
30/07/2019 00:00:00,30/07/2019 00:00:00,82
31/07/2019 00:00:00,31/07/2019 00:00:00,87.4
01/08/2019 00:00:00,01/08/2019,82.8
02/08/2019 00:00:00,02/08/2019,92.9
03/08/2019 00:00:00,03/08/2019,102.3
04/08/2019 00:00:00,04/08/2019,82.2
05/08/2019 00:00:00,05/08/2019,79.8
06/08/2019 00:00:00,06/08/2019,84.3
08/08/2019 00:00:00,08/08/2019,81.3
09/08/2019 00:00:00,09/08/2019,83.4
10/08/2019 00:00:00,10/08/2019,74.2
11/08/2019 00:00:00,11/08/2019,57.4
12/08/2019 00:00:00,12/08/2019,70
13/08/2019 00:00:00,13/08/2019 00:00:00,77.2
14/08/2019 00:00:00,14/08/2019 00:00:00,84.5
15/08/2019 00:00:00,15/08/2019 00:00:00,71.6
16/08/2019 00:00:00,16/08/2019 00:00:00,71.1
17/08/2019 00:00:00,17/08/2019 00:00:00,73.3
18/08/2019 00:00:00,18/08/2019 00:00:00,74.6
19/08/2019 00:00:00,19/08/2019 00:00:00,71.5
20/08/2019 00:00:00,20/08/2019 00:00:00,71.6
21/08/2019 00:00:00,21/08/2019 00:00:00,70.6
22/08/2019 00:00:00,22/08/2019 00:00:00,68.4
23/08/2019 00:00:00,23/08/2019 00:00:00,68.9
24/08/2019 00:00:00,24/08/2019 00:00:00,69.3
25/08/2019 00:00:00,25/08/2019 00:00:00,66.7
26/08/2019 00:00:00,26/08/2019 00:00:00,67
27/08/2019 00:00:00,27/08/2019 00:00:00,65.8
28/08/2019 00:00:00,28/08/2019 00:00:00,66.4
29/08/2019 00:00:00,29/08/2019 00:00:00,105.3
30/08/2019 00:00:00,30/08/2019 00:00:00,103
31/08/2019 00:00:00,31/08/2019 00:00:00,105.7
01/09/2019 00:00:00,01/09/2019,109.6
02/09/2019 00:00:00,02/09/2019,105
03/09/2019 00:00:00,03/09/2019,93.3
04/09/2019 00:00:00,04/09/2019,86.8
05/09/2019 00:00:00,05/09/2019,79.4
06/09/2019 00:00:00,06/09/2019,79.6
08/09/2019 00:00:00,08/09/2019,80.3
09/09/2019 00:00:00,09/09/2019,69.3
10/09/2019 00:00:00,10/09/2019,64.8
11/09/2019 00:00:00,11/09/2019,71.6
12/09/2019 00:00:00,12/09/2019,107.6
13/09/2019 00:00:00,13/09/2019 00:00:00,103
14/09/2019 00:00:00,14/09/2019 00:00:00,91.6
15/09/2019 00:00:00,15/09/2019 00:00:00,101.1
16/09/2019 00:00:00,16/09/2019 00:00:00,96
17/09/2019 00:00:00,17/09/2019 00:00:00,95.5
18/09/2019 00:00:00,18/09/2019 00:00:00,95.3
19/09/2019 00:00:00,19/09/2019 00:00:00,95.1
20/09/2019 00:00:00,20/09/2019 00:00:00,93.8
21/09/2019 00:00:00,21/09/2019 00:00:00,90.5
22/09/2019 00:00:00,22/09/2019 00:00:00,91.2
23/09/2019 00:00:00,23/09/2019 00:00:00,80.7
24/09/2019 00:00:00,24/09/2019 00:00:00,79.9
25/09/2019 00:00:00,25/09/2019 00:00:00,80.9
26/09/2019 00:00:00,26/09/2019 00:00:00,89.9
27/09/2019 00:00:00,27/09/2019 00:00:00,84.4
28/09/2019 00:00:00,28/09/2019 00:00:00,80.8
29/09/2019 00:00:00,29/09/2019 00:00:00,81.5
30/09/2019 00:00:00,30/09/2019 00:00:00,81.7
01/10/2019 00:00:00,01/10/2019,88
02/10/2019 00:00:00,02/10/2019,90.4
03/10/2019 00:00:00,03/10/2019,71.5
04/10/2019 00:00:00,04/10/2019,71.9
05/10/2019 00:00:00,05/10/2019,73.8
06/10/2019 00:00:00,06/10/2019,71.8
08/10/2019 00:00:00,08/10/2019,72.8
09/10/2019 00:00:00,09/10/2019,74
10/10/2019 00:00:00,10/10/2019,73.3
11/10/2019 00:00:00,11/10/2019,91
12/10/2019 00:00:00,12/10/2019,81.6
13/10/2019 00:00:00,13/10/2019 00:00:00,81
14/10/2019 00:00:00,14/10/2019 00:00:00,82.2
15/10/2019 00:00:00,15/10/2019 00:00:00,90
16/10/2019 00:00:00,16/10/2019 00:00:00,94.9
17/10/2019 00:00:00,17/10/2019 00:00:00,92.6
18/10/2019 00:00:00,18/10/2019 00:00:00,66.2
19/10/2019 00:00:00,19/10/2019 00:00:00,68.2
20/10/2019 00:00:00,20/10/2019 00:00:00,67.8
21/10/2019 00:00:00,21/10/2019 00:00:00,65.6
22/10/2019 00:00:00,22/10/2019 00:00:00,67.9
23/10/2019 00:00:00,23/10/2019 00:00:00,68.4
24/10/2019 00:00:00,24/10/2019 00:00:00,68.4
25/10/2019 00:00:00,25/10/2019 00:00:00,94.1
26/10/2019 00:00:00,26/10/2019 00:00:00,91.3
27/10/2019 00:00:00,27/10/2019 00:00:00,93.9
28/10/2019 00:00:00,28/10/2019 00:00:00,96.6
29/10/2019 00:00:00,29/10/2019 00:00:00,103.9
30/10/2019 00:00:00,30/10/2019 00:00:00,104.5
31/10/2019 00:00:00,31/10/2019 00:00:00,89.8
01/11/2019 00:00:00,01/11/2019,72.8
02/11/2019 00:00:00,02/11/2019,74.8
03/11/2019 00:00:00,03/11/2019,78.5
04/11/2019 00:00:00,04/11/2019,77.8
05/11/2019 00:00:00,05/11/2019,76.2
06/11/2019 00:00:00,06/11/2019,77.9
08/11/2019 00:00:00,08/11/2019,69.4
09/11/2019 00:00:00,09/11/2019,73.3
10/11/2019 00:00:00,10/11/2019,78.4
11/11/2019 00:00:00,11/11/2019,70.4
12/11/2019 00:00:00,12/11/2019,65
13/11/2019 00:00:00,13/11/2019 00:00:00,65.2
14/11/2019 00:00:00,14/11/2019 00:00:00,66.7
15/11/2019 00:00:00,15/11/2019 00:00:00,64.2
16/11/2019 00:00:00,16/11/2019 00:00:00,88.4
17/11/2019 00:00:00,17/11/2019 00:00:00,88.8
18/11/2019 00:00:00,18/11/2019 00:00:00,86.2
19/11/2019 00:00:00,19/11/2019 00:00:00,86
20/11/2019 00:00:00,20/11/2019 00:00:00,85.5
21/11/2019 00:00:00,21/11/2019 00:00:00,84.3
22/11/2019 00:00:00,22/11/2019 00:00:00,81.3
23/11/2019 00:00:00,23/11/2019 00:00:00,72
24/11/2019 00:00:00,24/11/2019 00:00:00,73.7
25/11/2019 00:00:00,25/11/2019 00:00:00,74.1
26/11/2019 00:00:00,26/11/2019 00:00:00,83.9
27/11/2019 00:00:00,27/11/2019 00:00:00,83.6
28/11/2019 00:00:00,28/11/2019 00:00:00,68.2
29/11/2019 00:00:00,29/11/2019 00:00:00,74.9
30/11/2019 00:00:00,30/11/2019 00:00:00,94.2
01/12/2019 00:00:00,01/12/2019,105.6
02/12/2019 00:00:00,02/12/2019,102.9
03/12/2019 00:00:00,03/12/2019,82.2
04/12/2019 00:00:00,04/12/2019,92.3
05/12/2019 00:00:00,05/12/2019,87.1
06/12/2019 00:00:00,06/12/2019,77.4
08/12/2019 00:00:00,08/12/2019,74.9
09/12/2019 00:00:00,09/12/2019,76.9
10/12/2019 00:00:00,10/12/2019,80.4
11/12/2019 00:00:00,11/12/2019,80.4
12/12/2019 00:00:00,12/12/2019,81.9
13/12/2019 00:00:00,13/12/2019 00:00:00,81.2
14/12/2019 00:00:00,14/12/2019 00:00:00,81.3
15/12/2019 00:00:00,15/12/2019 00:00:00,80.6
16/12/2019 00:00:00,16/12/2019 00:00:00,80
17/12/2019 00:00:00,17/12/2019 00:00:00,77.8
18/12/2019 00:00:00,18/12/2019 00:00:00,78.5
19/12/2019 00:00:00,19/12/2019 00:00:00,73.6
20/12/2019 00:00:00,20/12/2019 00:00:00,71.2
21/12/2019 00:00:00,21/12/2019 00:00:00,71.1
22/12/2019 00:00:00,22/12/2019 00:00:00,75.1
23/12/2019 00:00:00,23/12/2019 00:00:00,76.7
24/12/2019 00:00:00,24/12/2019 00:00:00,76.5
25/12/2019 00:00:00,25/12/2019 00:00:00,76.4
26/12/2019 00:00:00,26/12/2019 00:00:00,76.2
27/12/2019 00:00:00,27/12/2019 00:00:00,79.8
28/12/2019 00:00:00,28/12/2019 00:00:00,75.8
29/12/2019 00:00:00,29/12/2019 00:00:00,95.7
30/12/2019 00:00:00,30/12/2019 00:00:00,99.2
31/12/2019 00:00:00,31/12/2019 00:00:00,98.5
01/01/2020 00:00:00,01/01/2020,96.5
02/01/2020 00:00:00,02/01/2020,98.9
03/01/2020 00:00:00,03/01/2020,100.1
04/01/2020 00:00:00,04/01/2020,102.8
05/01/2020 00:00:00,05/01/2020,73.1
13/01/2020 00:00:00,13/01/2020 00:00:00,72.4
14/01/2020 00:00:00,14/01/2020 00:00:00,74.9
15/01/2020 00:00:00,15/01/2020 00:00:00,75.8
16/01/2020 00:00:00,16/01/2020 00:00:00,76.4
17/01/2020 00:00:00,17/01/2020 00:00:00,78.1
18/01/2020 00:00:00,18/01/2020 00:00:00,75.4
19/01/2020 00:00:00,19/01/2020 00:00:00,84
20/01/2020 00:00:00,20/01/2020 00:00:00,85.1
21/01/2020 00:00:00,21/01/2020 00:00:00,89.5
22/01/2020 00:00:00,22/01/2020 00:00:00,88.3
23/01/2020 00:00:00,23/01/2020 00:00:00,89.7
24/01/2020 00:00:00,24/01/2020 00:00:00,90.6
25/01/2020 00:00:00,25/01/2020 00:00:00,92.4
26/01/2020 00:00:00,26/01/2020 00:00:00,85.9
27/01/2020 00:00:00,27/01/2020 00:00:00,83.2
28/01/2020 00:00:00,28/01/2020 00:00:00,89
29/01/2020 00:00:00,29/01/2020 00:00:00,89.5
30/01/2020 00:00:00,30/01/2020 00:00:00,89.3
31/01/2020 00:00:00,31/01/2020 00:00:00,91.4
01/02/2020 00:00:00,01/02/2020,93.6
02/02/2020 00:00:00,02/02/2020,79.7
03/02/2020 00:00:00,03/02/2020,77.2
04/02/2020 00:00:00,04/02/2020,76.7
05/02/2020 00:00:00,05/02/2020,78.3
13/02/2020 00:00:00,13/02/2020 00:00:00,90.7
14/02/2020 00:00:00,14/02/2020 00:00:00,86.2
15/02/2020 00:00:00,15/02/2020 00:00:00,87.6
16/02/2020 00:00:00,16/02/2020 00:00:00,71.6
17/02/2020 00:00:00,17/02/2020 00:00:00,70.4
18/02/2020 00:00:00,18/02/2020 00:00:00,68.9
19/02/2020 00:00:00,19/02/2020 00:00:00,68.3
20/02/2020 00:00:00,20/02/2020 00:00:00,70.8
21/02/2020 00:00:00,21/02/2020 00:00:00,71.2
22/02/2020 00:00:00,22/02/2020 00:00:00,68.3
23/02/2020 00:00:00,23/02/2020 00:00:00,66.7
24/02/2020 00:00:00,24/02/2020 00:00:00,74
25/02/2020 00:00:00,25/02/2020 00:00:00,80.3
26/02/2020 00:00:00,26/02/2020 00:00:00,82.2
27/02/2020 00:00:00,27/02/2020 00:00:00,83.3
28/02/2020 00:00:00,28/02/2020 00:00:00,87.7
29/02/2020 00:00:00,29/02/2020 00:00:00,83.5
01/03/2020 00:00:00,01/03/2020,64.2
02/03/2020 00:00:00,02/03/2020,66
03/03/2020 00:00:00,03/03/2020,64.6
04/03/2020 00:00:00,04/03/2020,65.2
05/03/2020 00:00:00,05/03/2020,65.4
13/03/2020 00:00:00,13/03/2020 00:00:00,65.2
14/03/2020 00:00:00,14/03/2020 00:00:00,65
15/03/2020 00:00:00,15/03/2020 00:00:00,81
16/03/2020 00:00:00,16/03/2020 00:00:00,79.7
17/03/2020 00:00:00,17/03/2020 00:00:00,80.6
18/03/2020 00:00:00,18/03/2020 00:00:00,84
19/03/2020 00:00:00,19/03/2020 00:00:00,85.1
20/03/2020 00:00:00,20/03/2020 00:00:00,89.5
21/03/2020 00:00:00,21/03/2020 00:00:00,88.3
22/03/2020 00:00:00,22/03/2020 00:00:00,69.1
23/03/2020 00:00:00,23/03/2020 00:00:00,71.4
24/03/2020 00:00:00,24/03/2020 00:00:00,69.4
25/03/2020 00:00:00,25/03/2020 00:00:00,63.8
26/03/2020 00:00:00,26/03/2020 00:00:00,63
27/03/2020 00:00:00,27/03/2020 00:00:00,69.4
28/03/2020 00:00:00,28/03/2020 00:00:00,70.5
29/03/2020 00:00:00,29/03/2020 00:00:00,78.9
30/03/2020 00:00:00,30/03/2020 00:00:00,75.9
31/03/2020 00:00:00,31/03/2020 00:00:00,74.4
01/04/2020 00:00:00,01/04/2020,71.2
02/04/2020 00:00:00,02/04/2020,66.3
03/04/2020 00:00:00,03/04/2020,60.4
04/04/2020 00:00:00,04/04/2020,72
05/04/2020 00:00:00,05/04/2020,88.8
13/04/2020 00:00:00,13/04/2020 00:00:00,81.4
14/04/2020 00:00:00,14/04/2020 00:00:00,79
